date,jour,heure,zone,frequentation,capacite,taux
2026-01-08 10:34:59,Thursday,10,Est,0,500,0.0
2026-01-08 10:34:59,Thursday,10,Ouest,1,500,0.2
2026-01-08 10:55:21,Thursday,10,Ouest,24,500,4.8
2026-01-08 10:55:21,Thursday,10,Est,0,500,0.0
2026-01-08 11:25:18,Thursday,11,Ouest,92,500,18.4
2026-01-08 11:25:18,Thursday,11,Est,0,500,0.0
2026-01-08 11:44:05,Thursday,11,Est,0,500,0.0
2026-01-08 11:44:05,Thursday,11,Ouest,116,500,23.2
2026-01-08 11:55:56,Thursday,11,Est,0,500,0.0
2026-01-08 11:55:56,Thursday,11,Ouest,123,500,24.6
2026-01-08 12:59:02,Thursday,12,Est,0,500,0.0
2026-01-08 12:59:02,Thursday,12,Ouest,30,500,6.0
2026-01-08 13:48:23,Thursday,13,Ouest,0,500,0.0
2026-01-08 13:48:23,Thursday,13,Est,0,500,0.0
2026-01-08 14:13:28,Thursday,14,Est,0,500,0.0
2026-01-08 14:13:28,Thursday,14,Ouest,-3,500,-0.6
2026-01-08 14:47:19,Thursday,14,Ouest,-3,500,-0.6
2026-01-08 14:47:19,Thursday,14,Est,0,500,0.0
2026-01-08 15:13:00,Thursday,15,Ouest,7,500,1.4
2026-01-08 15:13:00,Thursday,15,Est,0,500,0.0
2026-01-08 15:44:21,Thursday,15,Ouest,51,500,10.2
2026-01-08 15:44:21,Thursday,15,Est,0,500,0.0
2026-01-08 16:01:06,Thursday,16,Ouest,69,500,13.8
2026-01-08 16:01:06,Thursday,16,Est,0,500,0.0
2026-01-08 16:46:05,Thursday,16,Ouest,120,500,24.0
2026-01-08 16:46:05,Thursday,16,Est,0,500,0.0
2026-01-08 17:15:34,Thursday,17,Est,0,500,0.0
2026-01-08 17:15:34,Thursday,17,Ouest,142,500,28.4
2026-01-08 17:47:01,Thursday,17,Ouest,134,500,26.8
2026-01-08 17:47:01,Thursday,17,Est,0,500,0.0
2026-01-08 18:00:49,Thursday,18,Est,0,500,0.0
2026-01-08 18:00:49,Thursday,18,Ouest,132,500,26.4
2026-01-08 18:43:34,Thursday,18,Ouest,100,500,20.0
2026-01-08 18:43:34,Thursday,18,Est,0,500,0.0
